"wkt","typ"
"LINESTRING (16.6334740551536 49.1517024245908,16.6348310940147 49.1516989994928,16.6445906458972 49.1528771407893,16.6445469359129 49.1531998369745,16.64518274589 49.1532442295952)","ostatni_pomocne"
"LINESTRING (16.6118774054651 49.1650350082843,16.6122181819262 49.1643695502354,16.6139379909819 49.1619836423018)","_Vyhrazeny pruh"
"LINESTRING (16.6877615691703 49.1880376428055,16.6861277162032 49.1858620014457,16.6860729803141 49.1848430448597)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6831056896039 49.210614963188,16.6832259195801 49.2090457811666,16.6832188951849 49.2089725440287)","ostatni_pomocne"
"LINESTRING (16.6154973429905 49.2324529277663,16.6139689191945 49.2325537691162)","_Zona30_pesi_obytna"
"LINESTRING (16.5675728080877 49.2028350122791,16.5683203401067 49.2028726659734,16.5701026443113 49.203172030531)","_stezka_C8_C9_C10"
"LINESTRING (16.5927777136406 49.2019490352874,16.597596250283 49.2026417435295)","_Zona30_pesi_obytna"
"LINESTRING (16.6513630618634 49.3004063260912,16.6530446529237 49.2992874521444,16.6538996318275 49.2989239771791,16.6583888155981 49.2973222235568,16.660500114604 49.2965713753166,16.6635250534641 49.2957211694896,16.6655644543926 49.294853721234)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.6655644543926 49.294853721234,16.666833806368 49.294345758008,16.6679657010113 49.2939350530919,16.6689197660775 49.2934099446563,16.669581746208 49.292866095646,16.6701951415575 49.2921734524922,16.6708584579129 49.2906222930995,16.6706844864125 49.2902979759682,16.6689454270929 49.2880208831062,16.6686631325448 49.2879416191476,16.6681959846473 49.2878122226107,16.6668252729335 49.2866830554207,16.6666762083633 49.2863456154381,16.6668042250592 49.2860499231415,16.6670252321861 49.2858796592415,16.6673581353385 49.285650369836,16.6678951007336 49.2855617361275,16.6688494592834 49.2856287296081,16.6697119713862 49.2857710119707,16.670062059755 49.2857138393697,16.6705681833599 49.2854669739684,16.6712182869074 49.2851038801539,16.6718114242936 49.2848110979019,16.6721158200675 49.2846169523655,16.6729693256742 49.2836364727918,16.6736355097321 49.2828286266846,16.6736801072563 49.2823487298881,16.6737407479519 49.2818402339651,16.674090062553 49.2814411638006,16.6748424003468 49.2806616512664,16.675546165554 49.2801090939086,16.6760141297531 49.2797480666295,16.6761108018467 49.2794353080184,16.6758237884795 49.2789693083183,16.6757017432363 49.2786746486759,16.6748430171669 49.2780942307507,16.6745872239382 49.2780614238607,16.67381701122 49.2781188553866,16.6734778188341 49.2781099193242,16.67252566429 49.2777532928265,16.6718413556272 49.2773560053983,16.6714933996998 49.2771235123298,16.6708356591331 49.2763565223147,16.6694326766046 49.2754257433594,16.6690329973949 49.2753010782259,16.668625649503 49.2753616537804,16.6683377233488 49.2755940999192,16.6679583418689 49.2759687486508,16.6677987107476 49.2761804770585,16.6674330214122 49.2763331489375,16.6670469092181 49.2764026420361,16.6663970278894 49.2763495728443,16.6652059832524 49.2760652779393,16.6641216335167 49.2756844271955,16.6639433118091 49.2754563932126,16.6636345222435 49.2746395533311,16.6636290309953 49.2743270538227,16.6638067572087 49.2740051323531,16.6642813087523 49.2732581867809,16.6647630020491 49.2726752297922,16.6654398732487 49.2722174504103,16.666594258095 49.2715479747039,16.6674500269319 49.2710647978069,16.6682395917401 49.2704832802233,16.6686071682361 49.2699825350426,16.6688032280661 49.2692616714859,16.6686576274413 49.2689626912604,16.6682554470875 49.2687645930884,16.6675373705396 49.2686334835576,16.6660424804942 49.2686898535576,16.6654238010506 49.2686251623819,16.6649002515475 49.2683760610115,16.6645238333969 49.2679419574023,16.6645505231952 49.2676211027291,16.6648266919018 49.2672031214035,16.6650495684322 49.2665563343142,16.6649482890916 49.2660269064714,16.6646683455358 49.2655188973423,16.6640796733483 49.2649552232496,16.6636962326314 49.2644059666914,16.6635544742978 49.2637675303129,16.6636179324253 49.2631435144208,16.6639293319556 49.2627874621697,16.6644491214432 49.2625055023542,16.6652354881105 49.2622592559582,16.6668395732784 49.2617731974767,16.6674443318989 49.2614080196281,16.668734637134 49.2599869162977,16.6696052800945 49.2586722187295,16.6703533867121 49.2572342597741,16.6706317184098 49.255971386318,16.6709391807642 49.2544515270656,16.6708066492811 49.2523317510784,16.6709894788373 49.2519284409821,16.6718841898667 49.2506239215461,16.6725055716509 49.2496275370314,16.6728998393684 49.2494963730334,16.6733189618041 49.2493940728048,16.6743483506284 49.2479863611099,16.6751277811275 49.2468555439796,16.675359863435 49.2458197840644)","_obsluzna komunikace(spolecny provoz)"
"LINESTRING (16.5833363965416 49.3120515369946,16.5837816177597 49.3130955937782,16.5834862242952 49.3140340851473,16.5819423205621 49.3163917352659,16.5813781399016 49.3172654776358,16.5817628256763 49.318526316925,16.5818750382005 49.319744990171,16.5814378205964 49.3236431069623,16.5807287298628 49.3247578579617,16.5784529819711 49.3264696580627)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6292286213704 49.2971226624518,16.6295715697193 49.2971096897475,16.6299087916198 49.2972003547032,16.6304523350201 49.2971420717972,16.6308356889294 49.2972285551945,16.6311117032691 49.2975527116803,16.6311824979489 49.2977434929108)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6311824979489 49.2977434929108,16.6314356107797 49.2977241804921,16.6319822220428 49.297026990244,16.6327380043348 49.2965080385401,16.6329299957776 49.296239172693,16.6330566954888 49.2958839568545,16.6333765069266 49.2957355743052,16.6344525262478 49.2954101125369,16.6345097516088 49.2951317465152,16.634742475804 49.295029243761,16.6356465392166 49.2949889151534,16.6360810507541 49.2948337458763,16.636862312726 49.2944354724573,16.6373322442534 49.2941341641644,16.6377194065272 49.2939905165697,16.6391185841909 49.2937026462978,16.6397087285886 49.2934989758303,16.6402701982126 49.2930554750244,16.6408401236391 49.2925605472221,16.6412393568657 49.2923434246044,16.6415223255443 49.2920735242758,16.6416334057992 49.2916057315658,16.6420151792118 49.2911495699189,16.6425515566927 49.2909272385801,16.6432085106843 49.2908694559062,16.6440757128082 49.2911906135169,16.6448081816109 49.291502279324,16.6452509366085 49.2915037204371,16.6457862896554 49.2915636976604,16.6462586002251 49.2917307068551,16.6474337566711 49.2927349075831,16.6480418948395 49.2931121147058,16.6483136653495 49.2933244541851,16.6487004256451 49.2942880244581,16.649100633777 49.2949627134963,16.6502095344278 49.29567982185,16.6509367841953 49.296161995886,16.6511369553499 49.2967408597014,16.6510091312908 49.2977945570826,16.6509128459288 49.2984491780873,16.6513035865912 49.2989745611049,16.6518128123401 49.2992630391492,16.6518210673746 49.2994398493048,16.6512556670213 49.3000752811947,16.6510889894356 49.3002302344138,16.6513630618634 49.3004063260912)","_ucelova_polni_lesni cesta"
"LINESTRING (16.5680953935371 49.2839662401268,16.5684679407949 49.2841429960323,16.568743531745 49.2843504289597,16.5691624640059 49.2844553405367,16.5690361563605 49.2847318897839,16.5706041328168 49.2856623179383,16.5720762224908 49.2868939745444,16.5722738446594 49.2868103337839,16.5725775661466 49.286779312217,16.5730875801236 49.2869583014173,16.5748934247857 49.2870790412959)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6157949271771 49.3074087699519,16.6160951628446 49.3071731247947,16.6163114501923 49.3070891144265,16.6166414925037 49.3070604156856,16.61708491645 49.3071768305265,16.6174000949433 49.3071943585863,16.617655394706 49.3071367398932,16.6177905629205 49.3070186319481,16.6177885946129 49.3067679165877,16.6173653905724 49.3062226968793,16.6174457088147 49.3060865326687,16.6179041360611 49.3058494150895,16.6183917122548 49.3055670755524,16.6187645861647 49.3053664652244,16.6191141072273 49.3052634900094,16.6196752701239 49.3051045372844,16.6200217012213 49.3050202528193,16.6202717528793 49.3048629741949,16.6202045261079 49.3047447603993,16.619786410272 49.3046065038552,16.6191072102709 49.3044734522888,16.6185398221395 49.3043199240445,16.6182634468475 49.3041112956042,16.61807764554 49.303923245468,16.617989189497 49.3038460815924,16.6175637682154 49.3038396802511,16.6171368034267 49.3038426240618,16.6168003872263 49.3036912136612,16.6166437467631 49.3034579414513,16.6166496576032 49.3028531919013,16.6166635287952 49.302594138845,16.6164067414295 49.3025405438241,16.6160265760786 49.3026212520587,16.6157474436665 49.3026263576696,16.6154287586172 49.3024880144618,16.6150782849394 49.3020826635108,16.6150174351667 49.3018384251938,16.6152651172598 49.3016408029673,16.615851392139 49.3013843592604,16.616175092508 49.3011093671905,16.6165106358021 49.3009924125925,16.6168674795854 49.3009762467231,16.6172756866414 49.300955433414,16.6177893211716 49.3009089687771,16.6179968236564 49.301031180806,16.6184530922897 49.3014853609457,16.6188035378412 49.3015845695312,16.6194442647671 49.3016877243992,16.619930549837 49.3017303299623,16.6200981431351 49.301634603122,16.6199368898053 49.3013088172633,16.6197840914397 49.3010084491354,16.6197894343769 49.3006696032581,16.6204699464497 49.3003784231399,16.620694939878 49.3000881785989,16.6204667697416 49.2997080269833,16.6206745008082 49.2992924581088,16.6210478180708 49.2989464943747,16.6211447206748 49.2985892911857,16.6208121299931 49.2981521261889,16.6200024560213 49.2978467518741,16.6198800729569 49.2975154354255,16.6202476298774 49.2971276993389,16.6206490542342 49.2971477662268,16.6211201595795 49.297511973456,16.6216944158823 49.2982475030206,16.6221976488537 49.2986470671267,16.6228515606613 49.2989000625916,16.623886238831 49.2989151660792,16.6244579531963 49.2988231301808,16.6245004998765 49.2987185745213,16.6243078337211 49.2985064109561,16.6239093706302 49.2982383559642,16.6236676901059 49.2979399951924,16.623672648327 49.2975266604638,16.6236248981447 49.2971261533523,16.6236173543686 49.2967119362416,16.6238396139353 49.2964380423189,16.6242933828946 49.2963707803076,16.6250371297585 49.2965390937947,16.6254676030792 49.2965363728481,16.6256284227611 49.2964815303319,16.6260227377669 49.2964679825071,16.6268522967473 49.2965761487256,16.6274598783069 49.2967265663278,16.6276422761074 49.2965408648717,16.6279162343982 49.296336800625,16.6275910699406 49.2960077393683,16.6270658766153 49.2956645661392,16.6268674534765 49.2954106322418,16.6267349644828 49.2952937279526,16.6260818032776 49.2951897313054,16.6257066511952 49.2948571364382,16.6253538095604 49.2945426615817,16.6248830609047 49.2942529599357,16.6248029250937 49.2940487366503,16.6249312693757 49.293884046031,16.62528526935 49.2935780785158,16.625873258524 49.2932555256208,16.6266423502712 49.2929741144006,16.6272915926573 49.2928497169038,16.6282727293932 49.2927723666297,16.6287605997303 49.2927500454288,16.6291183431493 49.2927279999227,16.6292687115757 49.2926487773756,16.6292418208908 49.2925050470512,16.6289111910508 49.292231154223,16.6284683716737 49.2918926131053,16.6281983341914 49.2915142522812,16.628071585179 49.2912310988709,16.6281481477137 49.2908653674232,16.6285919368642 49.2908515475443)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6221862696755 49.3081123419208,16.6211515450278 49.3080267730349,16.6202785526241 49.3079506763511,16.6193505941035 49.3080733989481,16.6179613169115 49.3083083340228,16.6167731024652 49.3083981818789,16.6161508960497 49.3084121587614,16.6156269437822 49.3085506774167,16.6152654167996 49.3086386126067,16.6150663037459 49.3086623722804,16.6148438151247 49.3086088345578,16.6147202021979 49.3084819064953,16.6150100423041 49.3079964961586)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6311844340203 49.2977498125175,16.6312978048941 49.2979662614585,16.6320974908638 49.2981643542882,16.6327487760194 49.298225183198,16.6334903577872 49.2985683428059,16.6335535869637 49.2989457317338,16.6338086352864 49.2991277981278,16.6341822672025 49.2994897699634,16.6343500485036 49.2999938644819,16.6346272406841 49.3005951724265,16.6346201473969 49.3016761741128,16.6345300347299 49.3024306042492,16.6348400468956 49.3028328401434,16.6358371286535 49.3034251992169,16.6360459046925 49.3036114567376,16.6362664364956 49.3041416380434,16.6359608104527 49.3046123742109,16.635236642564 49.3051230789257,16.6345855278014 49.3059256186802,16.6346176568277 49.3062150396576,16.6352000319428 49.3065562834777,16.6350984012635 49.3068262855794)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6351516495753 49.2950276815333,16.6349419882733 49.2953080605927,16.6350224166902 49.2954548899156,16.6353172686184 49.2954115051328,16.6356400646022 49.2953572560341,16.6359218743876 49.2954327235954,16.6360653554117 49.2955540518651,16.6365882487166 49.2953171304053,16.6373248535878 49.2948942173076,16.6377724330299 49.2949556940901,16.6382846303921 49.2952997644977,16.6384610429965 49.295260860998,16.638511681969 49.2949136660881,16.638562016593 49.2946477239074,16.6389024089341 49.2945262645062,16.6394272481135 49.2946744513723,16.6399137968048 49.2950552055634,16.6403693319036 49.2952669474606,16.6414932225643 49.2954701453361,16.6417417286158 49.2956288041857,16.6417763345044 49.2959349482465,16.6414669647546 49.2962254259865,16.6412178547609 49.2965073138959,16.6413400702902 49.2966784677872,16.6417858808784 49.2966713619023,16.642456434509 49.2965303636134,16.6428361156807 49.2966469244951,16.642876097524 49.2968807276228,16.6430232039215 49.2979733066481,16.6429161049105 49.2982266977287,16.6424541728002 49.2984508295003,16.6419753304481 49.2987379325233,16.6419402258558 49.2990306127086,16.6419466917564 49.2995871511847,16.6418894088187 49.2998953800786,16.6415374505454 49.3000074807397,16.6411362613138 49.3001802773729,16.6409606262761 49.3003732332261,16.6408404755323 49.3010235182314,16.6406320156306 49.3012569381495,16.6403772102017 49.3014143754923,16.6403167221326 49.3020795558269,16.6405454078637 49.3025672614801,16.640869478308 49.3030317397084,16.6407429316103 49.303591745571,16.6404138183932 49.3038497837613)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6226288729279 49.3083539450269,16.6227902048721 49.308382422627,16.6245087899734 49.3087295851565,16.6256856723514 49.3092172409353,16.6262295527466 49.3093078142293,16.6296731646713 49.3086369591605,16.6302058282536 49.3086745122056,16.6308777531261 49.3089568274697,16.6322198730296 49.3091689016889,16.6327415388083 49.3096364038462,16.6328810282693 49.3103641280978,16.6322713921674 49.3111565320328,16.6315582507102 49.3118502703898,16.6310478061386 49.312767135278,16.6306282553345 49.3130116681868,16.6300939961132 49.3131045345662,16.6296655325827 49.3137661215757,16.6290863539713 49.3149783475046,16.6284822363443 49.3151315465861,16.6282447430594 49.3152229529925,16.627924048331 49.3157149908065,16.627272488656 49.316414917703,16.6259339459106 49.3177525963787,16.6253809703656 49.3181312854282,16.6246733788182 49.3181335901143,16.6239554060828 49.3180605709804,16.6232959945972 49.318185605409,16.6224239506279 49.3186312779772,16.6217822093983 49.3187873862149,16.6212458561396 49.3187197063432,16.620763390561 49.3183947701221,16.6205503759313 49.3183722794223,16.6193104998609 49.3189038542419,16.6188881665308 49.3191127265029,16.6189192874857 49.3193386862923,16.6190467023058 49.3195341486485,16.6189574452348 49.3197292357066,16.6183833328691 49.319890100089,16.6171128373767 49.3197780381776,16.616189112039 49.3193622587781,16.6154756957948 49.3191925445727,16.6150624690663 49.3192081180193,16.6145816108235 49.3194948902536,16.6142598039459 49.3195094581683,16.6139236661834 49.3194036718564,16.6136594229181 49.3188628912413,16.6136566280126 49.3179825517764,16.6135264616434 49.317182721754,16.6132171491065 49.3169147323955,16.6131571053011 49.3166568906783,16.6132649514425 49.316142389756,16.6131518553357 49.3152393402597,16.613054027073 49.3149340761525,16.6126840887639 49.314549918782,16.6124354099664 49.3135701594303,16.6123071249428 49.3134492136803,16.6121707395029 49.3135035847091)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6221862696755 49.3081123419208,16.6223334004277 49.3082961281688)","_ucelova_polni_lesni cesta"
"LINESTRING (16.6144308156909 49.3104413260633,16.6150338574258 49.3100729164464,16.6161306803122 49.3096619797568,16.6177022057262 49.3092655588306,16.618620020453 49.3090590272628,16.6217011950482 49.308590046746,16.6221185422011 49.3083237491786,16.6223334004277 49.3082961281688,16.6226288729279 49.3083539450269,16.6229370340371 49.3081928364809,16.6233451194143 49.3076975188731,16.6241607632156 49.3068851498549,16.62467346032 49.3064566451521,16.6253544391003 49.3060346070152,16.6254955264192 49.3058554476481,16.625491500296 49.3056795594412,16.6252252440728 49.3053906160206,16.6251635272469 49.3052890043422,16.625196602836 49.3051886767608,16.6252838747699 49.3051353982105,16.6256120481247 49.3050991138892,16.6260065493808 49.3050864186739,16.6262652233375 49.3051208748531,16.62662565267 49.305189523729,16.6268229627503 49.3051953359272,16.6269503012777 49.3051745998185,16.6272097558527 49.3049038284419,16.6272975842338 49.3048722005752,16.627481441175 49.3049094820445,16.6276242647048 49.3049951995892,16.627697795021 49.3051003443727,16.627738779689 49.3052275081679,16.6278075492556 49.3052863899841,16.6279209953637 49.3052997937885,16.6281434475202 49.3052533449237,16.6282881180687 49.3052527407896,16.6284761794908 49.3053146313455,16.6285520334934 49.3054307456447,16.6285252498509 49.3055180094468,16.6284217673774 49.3055944614288,16.6283742464131 49.3057072787765,16.6284553395649 49.3059669469059,16.6285554089555 49.3062117434927,16.6287279400118 49.3063427795504,16.6289240531139 49.3063809224877,16.6292372204536 49.3063354646108,16.6294979854236 49.306332238146,16.6298657137597 49.3064067937722,16.6301745969259 49.3064123614594,16.6306066168269 49.3063725776039,16.6311682190465 49.3063986601092,16.6315766619349 49.3064517659464,16.6318044421314 49.3064732249507,16.6320201711748 49.3064425040923,16.6321718451964 49.3062992049272,16.6324040153841 49.306018395691,16.6324539264662 49.3058409079595,16.6326036705474 49.3055840062311,16.6326445337638 49.3054112839248,16.632773145928 49.3052825683041,16.633231639993 49.3050069029322,16.6334078047323 49.3048653286999,16.6335816742638 49.304537184027,16.6336688422241 49.3042839762015,16.6337747581523 49.3042428121981,16.6338998906511 49.3042354212016,16.6340163425393 49.3043057638919,16.6340235273757 49.304562919428,16.6339551004158 49.3048903905202,16.6338744604147 49.3051791789593,16.6336067996288 49.3055250284931,16.6335051502327 49.3059663258708,16.6335868326475 49.3062476425543,16.6337298394401 49.3064576366881,16.6339576680768 49.3065790528817,16.634126083648 49.3066098317051,16.6344631112295 49.3066200726236,16.6347009426835 49.3066557418624,16.6348150785627 49.3067151137783,16.6350863843745 49.3068233814906,16.6354921945619 49.306892496836,16.6358314758757 49.3069893423929,16.6361330768236 49.3069889776942,16.6363560919696 49.306964165198,16.6364633314515 49.3069149870651,16.6367326695897 49.3066340874664,16.6368982703478 49.306556601491,16.6370663173616 49.3065144078839,16.6372970564545 49.306492839396,16.6374401633918 49.306451590077,16.6375271770304 49.3063496568681,16.6375062805044 49.3060753277782,16.6375848795217 49.3059241738533,16.6376193738682 49.305840153751,16.6375545655508 49.3055816425032,16.6376244885255 49.305508222607,16.637719474049 49.3054581804646,16.6384292598991 49.3054622470448,16.6390553248829 49.3051470333244,16.6391103650491 49.3049131730931,16.6390129974005 49.3046077944566,16.6388236012171 49.3043533421753,16.638613558858 49.3037854059063,16.638744266699 49.3037378791877,16.6388657372614 49.303746434361,16.639231906504 49.3038053168738,16.6395238777843 49.3037880572238,16.6404004470144 49.3038639681533,16.6406377831824 49.3038712247299,16.641471153831 49.3037266113904,16.6418376552821 49.3036956825986,16.6419818810203 49.3036538318584,16.642033217079 49.3036054413773,16.6420388204519 49.3033079910534,16.64194076315 49.3030694304265,16.6418867879021 49.302914344065,16.6419554915411 49.3028482656244,16.6421267567502 49.3028177739469,16.6427085981468 49.3028398246454,16.6428259994079 49.3028291785371,16.6429248212919 49.3027557644433,16.6429814229429 49.3025659980669,16.6432257570905 49.3021104289061,16.6433180927963 49.302076405679,16.6434354921135 49.3020657589507,16.6435844893353 49.3021140685419,16.6440311788582 49.3024615897547,16.6441174876696 49.3024892769271,16.6443139684893 49.302424761698,16.6448689166184 49.3021396360546,16.6450060363117 49.3020844496474,16.6454953519821 49.3019973169752,16.6455699081181 49.3019458316885,16.6456250415467 49.3017362909509,16.6457189338555 49.3015672991643,16.6458935482763 49.3014850336872,16.6460214365211 49.3014859286923,16.6461828111426 49.3015594196101,16.6464423769334 49.3017640897634,16.6465803175642 49.3017791990627,16.6468620943312 49.3017233832508,16.6474190635292 49.3015889988975,16.6482907253217 49.3013430261227,16.6486870967185 49.3012621743375,16.6490720253664 49.3011190569063,16.649476849479 49.3009867931031,16.6496874453563 49.3008928704904,16.6501529016409 49.3005237595514,16.6506440840287 49.3002179158878,16.6514166123658 49.2996954748268,16.6519284554279 49.2991928455349,16.65214818266 49.2991359627901,16.6531219119841 49.2988648140319,16.6538629638702 49.2985570107055,16.6541921737005 49.2983755034642,16.6544215132263 49.2983175283625,16.6546148451518 49.29834927205,16.654846717974 49.2985903221036)","_ucelova_polni_lesni cesta"
